Date,Open,High,Low,Close,Adj Close,Volume
2007-09-01,null,null,null,null,null,null
2007-10-01,2704.250000,2861.510010,2698.139893,2859.120117,2859.120117,48751620000
2007-11-01,2835.000000,2835.629883,2539.810059,2660.959961,2660.959961,50214790000
2007-12-01,2654.909912,2734.820068,2553.989990,2652.280029,2652.280029,37753390000
2008-01-01,2653.909912,2661.500000,2202.540039,2389.860107,2389.860107,55211960000
2008-02-01,2392.580078,2419.229980,2252.649902,2271.479980,2271.479980,45767570000
2008-03-01,2271.260010,2346.780029,2155.419922,2279.100098,2279.100098,44966440000
2008-04-01,2306.510010,2451.189941,2266.290039,2412.800049,2412.800049,42726250000
2008-05-01,2416.489990,2551.469971,2416.489990,2522.659912,2522.659912,42783110000
2008-06-01,2514.820068,2549.939941,2290.590088,2292.979980,2292.979980,45968100000
2008-07-01,2274.239990,2353.389893,2167.290039,2325.550049,2325.550049,50672460000
2008-08-01,2326.830078,2473.199951,2280.929932,2367.520020,2367.520020,39482890000
2008-09-01,2402.110107,2413.110107,1983.729980,2091.879883,2091.879883,51722940000
2008-10-01,2075.100098,2083.199951,1493.790039,1720.949951,1720.949951,62537120000
2008-11-01,1718.890015,1785.839966,1295.479980,1535.569946,1535.569946,41933210000
2008-12-01,1496.089966,1602.920044,1398.069946,1577.030029,1577.030029,39619890000
2009-01-01,1578.869995,1665.630005,1434.079956,1476.420044,1476.420044,39995600000
2009-02-01,1460.849976,1598.500000,1372.420044,1377.839966,1377.839966,42380620000
2009-03-01,1356.130005,1587.000000,1265.520020,1528.589966,1528.589966,49480930000
2009-04-01,1504.869995,1753.609985,1498.540039,1717.300049,1717.300049,48683640000
2009-05-01,1719.290039,1774.329956,1664.189941,1774.329956,1774.329956,47352030000
2009-06-01,1796.089966,1879.920044,1753.780029,1835.040039,1835.040039,51881250000
2009-07-01,1846.119995,2009.810059,1727.050049,1978.500000,1978.500000,47084360000
2009-08-01,1998.349976,2059.479980,1929.640015,2009.060059,2009.060059,44011670000
2009-09-01,2001.300049,2167.699951,1958.040039,2122.419922,2122.419922,49652910000
2009-10-01,2111.770020,2190.639893,2040.209961,2045.109985,2045.109985,50489640000
2009-11-01,2047.420044,2205.320068,2024.270020,2144.600098,2144.600098,38877300000
2009-12-01,2162.229980,2295.800049,2155.959961,2269.149902,2269.149902,39269070000
2010-01-01,2294.409912,2326.280029,2140.340088,2147.350098,2147.350098,45625830000
2010-02-01,2155.810059,2251.679932,2100.169922,2238.260010,2238.260010,42835360000
2010-03-01,2247.399902,2432.250000,2247.330078,2397.959961,2397.959961,54955550000
2010-04-01,2411.679932,2535.280029,2383.770020,2461.189941,2461.189941,54528540000
